"ID","challenges_other","challenges_coded","TTRAM_validation","TTRAM_other"
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Funding : ensuring the long-term evolutions","Resources","Continuity of Service"
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Funding : Advocacy support (help to discuss with the funders, recognized arguments)","Resources","Governance"
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Continuity of service : Recognized models and guidelines for succession planning ; available frameworks and mechanisms for succession planning","Continuity of Service","People & Expertise"
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Human resources : skills framework","People & Expertise",
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Human resources : professional and initial training programs","People & Expertise","Training"
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Closer engagement with the disciplinary community (Clarin)","External Engagement",
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Closer engagement with the generalist community (RDA...)","External Engagement",
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Measurement : meaningful indicators of mission achievement for TDRs","Analysis & Impact",
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Legal issues : implementation of TK (Traditional Konwoledge) labels","Legal & Ethical",
19,"RESOURCES: 
Could profit from: 1) Recognized models and guidelines for resource management in research repositories; 2) Increased resource allocations to allow for larger enhancements and long-term planning of repository development, e.g., through increased local, national, European and global investment in and prioritization of open, community-driven research infrastructure, including human capacity; 3) Advocacy support, e.g., aligned and recognized arguments, to use when discussing with our funders the need for sustainable funding to obtain TDR status and retain it in the long run.

CONTINUITY OF SERVICE: 
Could profit from: 1) Recognized models and guidelines for succession planning; 2) Available frameworks and mechanisms for succession planning, e.g., European or global ”succession” consortia which individual repositories can join.  

PEOPLE & EXPERTISE: 
Could profit from: 1) Recognized competency and skills framework and curricula for different repository roles, e.g., repository manager, collection manager, curator; 2) European or global education and training programs based on curricula in (1) and based on Open Education principles.  

EXTERNAL ENGAGEMENT: 
Could profit from: 1) Closer engagement with CLARIN community; 2) Closer engagement with global communities such as RDA, in particular the RDA Linguistics Data Interest Group. 

COMMUNITY WATCH: 
Could profit from: 1) Closer engagement with user communities; 2) Recognized methods and approaches for community engagement considering the currently low level of incentives.  

LEGAL & ETHICAL: 
Could profit from: Implementation of TK Labels to support management og data sovereignty.

POLICY & STANDARDS MANAGEMENT: 
Could profit from: 1) Recognized guidelines and templates for TDR policy & standards management; 2) More globally recognized frameworks that TDRs can endorse and implement in their policies instead of reinventing the wheel within each TDR.  

CRITERIA, ASSESSMENT, IMPROVEMENT: 
Could profit from: 1) Recognized guidelines and templates for internal compliance management to guide continuous, targeted improvement.  

ANALYSIS & IMPACT: 
Currently not prioritized, but could profit from: 1) Framework including meaningful indicators of mission achievement for TDRs.  

RIGHTS MANAGEMENT: 
Could profit from: 1) Harmonization/Adaption of GDPR to better align with recognized research needs and responsible and transparent research practices; 2) Globally/Europe-wide/Nationally endorsed clear practical guidelines for how to assess and manage data in TDRs in compliance with legal (e.g., GDPR, IPR) and ethical requirements to support transparent practices; 3) Globally endorsed guidelines for granular rights management in datasets or collections with files/elements with different IPR or data privacy needs; 4) A technical implementation of (3).  

TRAINING: 
Could profit from: 1) Closer integration of TDR-relevant training in research methods curricula at Master and PhD level; 2) Closer engagement with designated community.  

RESEARCH & DEVELOPMENT: 
Could profit from: 1) Increased recognition of the importance of R&D of research infrastructure to advance transparent and accountable research and innovation; 2) Increased allocation of funding for R&I on research infrastructure including human capacity; 3) Advocacy for allocating R&I resources in TDR budgets.  

THIRD PARTY DEPENDENCIES: 
Could profit from: 1) Increased local, national, European and global recognition of and long-term investment in open, community-driven research infrastructure, including human capacity.
","Legal / regulatory : Recognized guidelines, frameworks, templates... for TDR policy & standards management","Legal & Ethical",
